[debug] res = (False, [])
[debug] current_file = ../../../Bench2Drive-rep/HardBreakRoute_Town01_Route30_Weather3/anno/00000.json.gz
[debug] max_distance = 10.0
[debug] current_file = ../../../Bench2Drive-rep/HardBreakRoute_Town01_Route30_Weather3/anno/00000.json.gz
[debug] max_distance = 10.0
[debug] res = (False, [])
[debug] current_file = ../../../Bench2Drive-rep/HardBreakRoute_Town01_Route30_Weather3/anno/00005.json.gz
[debug] max_distance = 10.0
[debug] current_file = ../../../Bench2Drive-rep/HardBreakRoute_Town01_Route30_Weather3/anno/00005.json.gz
[debug] max_distance = 10.0
[debug] res = (False, [])
[debug] current_file = ../../../Bench2Drive-rep/HardBreakRoute_Town01_Route30_Weather3/anno/00010.json.gz
[debug] max_distance = 18.56891867956029
[debug] current_file = ../../../Bench2Drive-rep/HardBreakRoute_Town01_Route30_Weather3/anno/00010.json.gz
[debug] max_distance = 18.56891867956029
[debug] frame = 00010, id = 18706, distance = 14.248617670845167
[debug] frame = 00011, id = 18706, distance = 14.023780347602745
[debug] frame = 00012, id = 18706, distance = 13.771763832207455
[debug] frame = 00013, id = 18706, distance = 13.49746268125878
[debug] frame = 00014, id = 18706, distance = 13.246123540069366
[debug] frame = 00015, id = 18706, distance = 13.032075043713455
[debug] frame = 00016, id = 18706, distance = 12.788881072986854
[debug] frame = 00017, id = 18706, distance = 12.515863573545346
[debug] frame = 00018, id = 18706, distance = 12.211600467134227
[debug] frame = 00019, id = 18706, distance = 11.899323277533298
[debug] frame = 00020, id = 18706, distance = 11.62784779638731
[debug] res = (False, [])
[debug] current_file = ../../../Bench2Drive-rep/HardBreakRoute_Town01_Route30_Weather3/anno/00015.json.gz
[debug] max_distance = 32.286351970669585
[debug] current_file = ../../../Bench2Drive-rep/HardBreakRoute_Town01_Route30_Weather3/anno/00015.json.gz
[debug] max_distance = 32.286351970669585
[debug] frame = 00015, id = 18706, distance = 13.032075043713455
[debug] frame = 00015, id = 18705, distance = 28.050599081864792
[debug] frame = 00016, id = 18706, distance = 12.788881072986854
[debug] frame = 00016, id = 18705, distance = 27.806089229775726
[debug] frame = 00017, id = 18706, distance = 12.515863573545346
[debug] frame = 00017, id = 18705, distance = 27.531834055618948
[debug] frame = 00018, id = 18706, distance = 12.211600467134227
[debug] frame = 00018, id = 18705, distance = 27.219502380239476
[debug] frame = 00019, id = 18706, distance = 11.899323277533298
[debug] frame = 00019, id = 18705, distance = 26.898993964528266
[debug] frame = 00020, id = 18706, distance = 11.62784779638731
[debug] frame = 00020, id = 18705, distance = 26.63302391312033
[debug] frame = 00021, id = 18706, distance = 11.480112156301269
[debug] frame = 00021, id = 18705, distance = 26.42361492967301
[debug] frame = 00022, id = 18706, distance = 11.425686064994332
[debug] frame = 00022, id = 18705, distance = 26.318272024881484
[debug] frame = 00023, id = 18706, distance = 11.454673824172843
[debug] frame = 00024, id = 18706, distance = 11.51170842178741
[debug] frame = 00025, id = 18706, distance = 11.574683388635261
[debug] frame = 00026, id = 18706, distance = 11.661261100836022
[debug] frame = 00027, id = 18706, distance = 11.737006075700158
[debug] frame = 00028, id = 18706, distance = 11.7575449643483
[debug] frame = 00029, id = 18706, distance = 11.726515087094038
[debug] frame = 00030, id = 18706, distance = 11.520973508911034
[debug] frame = 00031, id = 18706, distance = 11.074972249381034
[debug] frame = 00032, id = 18706, distance = 10.46217320252968
[debug] frame = 00033, id = 18706, distance = 9.88118138227136
[debug] frame = 00034, id = 18706, distance = 9.505657911888822
[debug] frame = 00035, id = 18706, distance = 9.390814809123432
[debug] frame = 00036, id = 18706, distance = 9.392008812573163
[debug] frame = 00037, id = 18706, distance = 9.390456280341617
[debug] frame = 00038, id = 18706, distance = 9.388774044920744
[debug] frame = 00039, id = 18706, distance = 9.387450380452103
[debug] frame = 00040, id = 18706, distance = 9.38651199635391
[debug] frame = 00041, id = 18706, distance = 9.38588259176286
[debug] frame = 00042, id = 18706, distance = 9.385432468971665
[debug] frame = 00043, id = 18706, distance = 9.38515018972805
[debug] frame = 00044, id = 18706, distance = 9.384978533431502
[debug] frame = 00045, id = 18706, distance = 9.385039570449939
[debug] frame = 00046, id = 18706, distance = 9.385062459790426
[debug] frame = 00047, id = 18706, distance = 9.38508534729662
[debug] frame = 00048, id = 18706, distance = 9.385100607468376
[debug] frame = 00049, id = 18706, distance = 9.385115865805838
[debug] frame = 00050, id = 18706, distance = 9.385127309558937
[debug] frame = 00051, id = 18706, distance = 9.385131125977594
[debug] frame = 00052, id = 18706, distance = 9.385131125977594
[debug] frame = 00053, id = 18706, distance = 9.38513494056196
[debug] frame = 00054, id = 18706, distance = 9.38513494056196
[debug] frame = 00055, id = 18706, distance = 9.385142569730691
[debug] frame = 00056, id = 18706, distance = 9.385142569730691
[debug] frame = 00057, id = 18706, distance = 9.385142569730691
[debug] frame = 00058, id = 18706, distance = 9.385142569730691
[debug] frame = 00059, id = 18706, distance = 9.385142569730691
